Org ID,Name,Twitter,Facebook
621519393,CodeMash,codemash,codemashconference
10652048014,Events with BeneFitz,benefitzco,benefitzco
12063909343,Parkside Church,@parksidechurch,parksidechurchbainbridge
12063909343,Parkside Church,@parksidechurch,parksidechurchbainbridge
12063909343,Parkside Church,@parksidechurch,parksidechurchbainbridge
12063909343,Parkside Church,@parksidechurch,parksidechurchbainbridge
12063909343,Parkside Church,@parksidechurch,parksidechurchbainbridge
10652048014,Events with BeneFitz,benefitzco,benefitzco
1572974280,Ministerial Certification Office,detroitcatholic,pages/Archdiocese-of-Detroit/112790103797
3114912820,Flowerland,@myflowerland,myflowerland
13334696014,African Fashions,africanprintsoverload,AfricanFashions
4701567195,Harrison Dance Company,@,pages/Oakland-Dance-Festival/559944994112115
6926765305,ADOPTIVE FAMILY SUPPORT NETWORK (AFSN),AFSN_GR,AdoptiveFamilySupportNetwork
8584698161,Detroit Crawls,None,Detroitcrawls
14753299208,Theatre in the Woods Company,None,theatreinthewoods.company
8268869730,Toledo Lucas County Public Library,toledolibrary,toledolibrary
721419835,Downtown Holland,downtownholland,downtownholland
6669080047,Santa Hustle Race Series,santahustle,santahustle
15087890063,None,None,None
1298350275,None,None,None
14969796152,BLU JEAN BLUES,None,BLUJEANBLUES
12921052638,Centria Autism Services,CentriaAutism,CentriaAutism
8247709639,Mission Services of London,mission1951,missionservicesoflondon
12717773576,The University of Michigan Men's Glee Club,@ummgc,UMMGC
13195110709,Hoof Hearted Brewing,None,None
13470265403,None,None,detroitcaregivers
10927296359,Ugly Sweater Bar Crawls,@letsgetugly,UglySweaterBarCrawls
11077172197,National Academy of Medicine ,theNAMedicine,NAMedicine
3267487418,Total Solutions Incorporated,SPSDetroit_2017,Total-Solutions-129379880470088
13055694580,"Bar Crawl Events, LLC",None,events/296673884093039
4391787813,Lago Custom Events,lagocustomoevent,lagocustomevents
9482696453,Mentor High School,@MentorAthletics,None
6555979849,Triumph Church,@TriumphDetroit,TriumphChurch
964533803,Pillar Nonprofit Network,@PillarNN,Pillar.Nonprofit.Network
8449193220,LaunchPad Incubation,UTLaunchpad,LaunchPadIncubation
13055694580,"Bar Crawl Events, LLC",None,events/296673884093039
6227214489,DVS,None,None
12017569217,Brightmoor Christian Church ,None,brightmoorchristianchurch
13112047307,"University of Michigan's Center on Finance, Law, and Policy",MichiganCFLP,UMichCenteronFinanceLawPolicy
11120966627,The Movement Project ,TheMovtProject,themovementproject.cleveland
11823421631,Ann Arbor SPARK,AnnArborSPARK,AnnArborUSA
12017569217,Brightmoor Christian Church ,None,brightmoorchristianchurch
15403837320,Kirk on Campus,@KirkCenter,kirkcenter
12915532264,RedWater Restaurant Group,redwatergroup,RedWaterRestaurants
4334141091,Maggiano's Little Italy- Troy,None,MLITroy
14806577564,Broad College Alumni Relations ,None,None
1261639083,Michigan Venture Capital Association,@michiganvca,MichiganVCA
2943822513,Black Girls CODE,blackgirlscode,BlackGirlsCodeOrg
11208569585,Waterford Pride,@PrideWaterford,waterfordprideofficial
